Almond butter
Almond
Amaranth cooked
Anise seed
Apple raw
Apricot raw
Artichoke cooked
Arugula raw
Aspargus cooked
Bok Choy cooked
Balsamic Vinegar
Bamboo shoots cooked
Barley cooked
Basil Dried
Basil Fresh
Bay Leaves
Black Pepper
Brazil nuts
Brown Rice Flour
Brown Rice Flour Pasta
Brown Rice Long-grain
Brown Rice Medium-Grain
Brussels Sprouts
Buckwheat cooked
Buckwheat flour
Bulgur cooked
Butternut Cooked
Butternut Squash Cooked
Canned coconut milk
Canned tomatoes
Capers canned
Carambola starfruit
Caraway seed
Cardamom
Carrot Raw
Cashew nuts
Celery cooked
Celery seed
Cherries sour
Chervil Dried
Chestnuts chinese
Chia seeds
Chickpea cooked
Chili powder
Cinnamon
Cloves
Coconut meat
Coconut water
Coconut Yogurt Plain
Cod Cooked
Collards Raw
Cooked beets
Cooked broccoli
Cooked cabbage
Cooked carrots
Cooked cauliflower
Coriander Dried
Couscous
Cranberries raw
Cress garden raw
Cucumber raw
Cumin
Curry
Dark raisins
Dates
Dehydrated banana
Dill Dried
Dill weed Fresh
Dried apricot
Dried cranberries
Dried figs
Dried plums
Egg Cooked
Egg Noodle
Eggplant cooked
Endive raw
Fennel seed
Firm Tofu
Flax seeds
Cooked corn
Edamame
Garlic Raw
Garlic powder
Ginger ground
Ginger root
Goji berries dried
Golden raisins
Green beans
Green peas cooked
Green Bell Pepper cooked
Hazelnuts
Hemp seeds
Jackfruit raw
Kale raw
Kimchi
Kiwi raw
Leek cooked
Lemon peel
Lemon
Lentils sprouted cooked
Lettuce Green Raw
Lime raw
Lotus root cooked
Lychees raw
Macadamia nuts
Mango raw
Melon Cantaloupe
Millet cooked
Miso Paste
Mustard Greens raw
Mustard seed
Nectarines
Nutmeg ground
Nutritional Yeast
Oat Bran Cooked
Oat Flour
Oats
Olive oil
Olives canned
Oranges raw
Oregano Dried
Papaya
Paprika
Parsley Fresh
Parsley Dried
Parsnip cooked
Peanut Butter
Pears
Pecans
Peppermint Fresh
Pine nuts
Pineapple
Pinto beans cooked
Pistachio nuts
Plums
Polenta
Pomegranate
Poppy Seed
Portabella mushroom grilled
Pummelo
Pumpkin cooked
Pumpkin seeds
Pure Sesame Oil
Pure Vanilla Extract
Quinoa
Radish raw
Raw avocado
Raw banana
Raw blackberries
Raw blueberries
Raw chanterelle mushrooms
raw cherries
Raw figs
Raw grapefruit
Raw raspberries
Raw Romaine Lettuce
Raw Shitaake mushrooms
Raw Swiss Chard
Red cabbage raw
Red cooked cabbage
Red grapes
Red onion
Red Bell pepper
Red Wine Vinegar
Rhubarb
Rice Noodle
Tomato raw
Risotto Rice
Rosemary dried
Rosemary Fresh
Rutabaga cooked
Rye Flour Dark
Rye Grain
Saffron
Sage ground
Salmon Cooked
Salsify cooked
Pesto
Scallions raw
Sesame seeds
Shallots
Shitaake mushroom stir-fried
Sliced Yellow Squash
Smoked paprika
Soba Noodle
Soft Tofu
Soy milk
Soy Sauce
Soybean mature seed cooked
Spaghetti squash cooked
Spearmint Dried
Spearmint Fresh
Spelt Bread
Spinach raw
Spinach Cooked
Kidney beans cooked
Strawberries
Sunflower seeds
Sweet potato
Table Salt
Tahini
Tangerines
Tapioca Pearl
Tarragon Dried
Tempeh
Teriyaki Sauce
Thyme Dried
Thyme Fresh
Tilapia Cooked
Turmeric ground
Turnips cooked
Unsweetened Almond Milk
Unsweetened Applesauce
Vinegar Cider
Wakame Seaweed raw
Walnuts
Watermelon
White mushrooms
White pepper
White potato cooked
Whole Cornmeal
Whole Grain Corn Flour
Whole Grain Wheat Flour
Whole Wheat Gnocchi
Whole Wheat Pasta
Wild Rice
Yam cooked
Yellow onions saute
Yellow passionfruit
Yellow peaches
Zucchini Raw
Zucchini cooked
